ad_id,product,channel,audience,date,impressions,clicks,conversions,spend,headline_len,sentiment,ctr,cvr
ad_0,NoiseCancel Headphones,facebook,Students 18-25,2025-09-03,912,7,0,13.4,20,0.03,0.007675438596491228,0.0
ad_1,Eco Bottle,youtube,Professionals 30-45,2025-10-24,960,4,0,13.73,51,0.107,0.004166666666666667,0.0
ad_2,Online MBA Course,facebook,Students 18-25,2025-10-27,2973,23,1,32.44,29,-0.08,0.007736293306424487,0.043478260869565216
ad_3,NoiseCancel Headphones,instagram,Men 25-40,2025-11-08,233,4,0,2.71,27,-0.038,0.017167381974248927,0.0
ad_4,Online MBA Course,instagram,Students 18-25,2025-09-22,883,10,0,10.41,54,0.129,0.011325028312570781,0.0
ad_5,Organic Face Cream,youtube,Students 18-25,2025-09-02,976,9,0,14.5,32,-0.044,0.009221311475409836,0.0
ad_6,Smartwatch Pro,facebook,Women 25-40,2025-08-16,269,1,0,3.5,22,-0.084,0.0037174721189591076,0.0
ad_7,Smartwatch Pro,facebook,Professionals 30-45,2025-11-01,80,1,0,1.15,11,-0.143,0.0125,0.0
ad_8,Eco Bottle,google_search,Professionals 30-45,2025-08-17,382,14,0,4.46,22,0.023,0.03664921465968586,0.0
ad_9,Smartwatch Pro,instagram,Professionals 30-45,2025-08-18,1214,11,0,15.19,21,0.177,0.009060955518945634,0.0
ad_10,Online MBA Course,youtube,Women 25-40,2025-11-13,273,2,0,3.37,41,0.09,0.007326007326007326,0.0
ad_11,Eco Bottle,instagram,Men 25-40,2025-11-03,1695,21,1,19.9,15,-0.033,0.012389380530973451,0.047619047619047616
ad_12,NoiseCancel Headphones,facebook,Women 25-40,2025-10-05,488,5,0,5.52,32,-0.135,0.010245901639344262,0.0
ad_13,Organic Face Cream,youtube,Men 25-40,2025-11-02,817,7,0,8.51,50,0.056,0.008567931456548347,0.0
ad_14,NoiseCancel Headphones,instagram,Professionals 30-45,2025-08-22,869,4,0,11.78,34,0.27,0.004602991944764097,0.0
ad_15,Organic Face Cream,instagram,Women 25-40,2025-09-27,1372,16,1,20.44,26,0.389,0.011661807580174927,0.0625
ad_16,Smartwatch Pro,instagram,Professionals 30-45,2025-10-18,569,7,0,6.19,56,0.49,0.012302284710017574,0.0
ad_17,NoiseCancel Headphones,instagram,Women 25-40,2025-09-29,2463,44,0,31.49,40,0.063,0.017864393016646368,0.0
ad_18,Eco Bottle,google_search,Professionals 30-45,2025-09-29,102,2,0,1.33,11,0.117,0.0196078431372549,0.0
ad_19,NoiseCancel Headphones,instagram,Students 18-25,2025-09-18,988,6,0,14.73,32,-0.067,0.006072874493927126,0.0
ad_20,Eco Bottle,instagram,Men 25-40,2025-09-26,38,0,0,0.39,46,-0.042,0.0,0.0
ad_21,NoiseCancel Headphones,instagram,Students 18-25,2025-09-20,148,0,0,1.67,35,-0.292,0.0,0.0
ad_22,Organic Face Cream,youtube,Women 25-40,2025-11-13,3098,42,0,32.44,31,0.213,0.01355713363460297,0.0
ad_23,NoiseCancel Headphones,facebook,Professionals 30-45,2025-10-29,102,0,0,1.15,42,-0.872,0.0,0.0
ad_24,Eco Bottle,instagram,Students 18-25,2025-09-17,695,5,0,8.3,25,0.68,0.007194244604316547,0.0
ad_25,NoiseCancel Headphones,facebook,Women 25-40,2025-09-14,788,11,0,10.32,42,0.054,0.013959390862944163,0.0
ad_26,Organic Face Cream,instagram,Professionals 30-45,2025-10-19,1144,6,1,13.05,16,-0.271,0.005244755244755245,0.16666666666666666
ad_27,Eco Bottle,facebook,Women 25-40,2025-10-21,1644,14,1,22.52,27,0.094,0.00851581508515815,0.07142857142857142
ad_28,Smartwatch Pro,facebook,Men 25-40,2025-10-28,764,9,0,9.35,22,-0.637,0.011780104712041885,0.0
ad_29,Smartwatch Pro,youtube,Women 25-40,2025-09-23,1116,9,1,13.12,48,0.331,0.008064516129032258,0.1111111111111111
ad_30,Eco Bottle,google_search,Professionals 30-45,2025-11-05,1433,32,1,18.5,16,-0.147,0.022330774598743892,0.03125
ad_31,Online MBA Course,facebook,Men 25-40,2025-10-28,2942,52,0,31.15,53,-0.116,0.017675050985723997,0.0
ad_32,Organic Face Cream,google_search,Women 25-40,2025-11-11,875,22,4,12.77,58,0.067,0.025142857142857144,0.18181818181818182
ad_33,NoiseCancel Headphones,google_search,Students 18-25,2025-10-25,78,2,0,1.15,56,0.28,0.02564102564102564,0.0
ad_34,NoiseCancel Headphones,youtube,Professionals 30-45,2025-11-06,185,1,0,2.48,45,0.155,0.005405405405405406,0.0
ad_35,Online MBA Course,facebook,Men 25-40,2025-10-10,1728,32,0,24.0,27,0.663,0.018518518518518517,0.0
ad_36,Eco Bottle,youtube,Students 18-25,2025-09-26,472,7,0,6.76,35,0.411,0.014830508474576272,0.0
ad_37,Organic Face Cream,facebook,Students 18-25,2025-11-09,5694,40,3,67.14,32,-0.17,0.007024938531787847,0.075
ad_38,Eco Bottle,instagram,Men 25-40,2025-09-21,1479,24,3,19.38,59,0.261,0.016227180527383367,0.125
ad_39,Eco Bottle,google_search,Students 18-25,2025-10-07,960,26,0,12.59,43,0.019,0.027083333333333334,0.0
ad_40,Smartwatch Pro,facebook,Women 25-40,2025-10-16,159,1,0,1.65,26,-0.551,0.006289308176100629,0.0
ad_41,Organic Face Cream,google_search,Students 18-25,2025-08-26,164,4,0,1.67,25,0.073,0.024390243902439025,0.0
ad_42,Online MBA Course,instagram,Professionals 30-45,2025-10-03,194,2,0,2.61,30,0.004,0.010309278350515464,0.0
ad_43,Smartwatch Pro,google_search,Professionals 30-45,2025-09-14,2,0,0,0.03,56,0.153,0.0,0.0
ad_44,Smartwatch Pro,youtube,Students 18-25,2025-11-07,1162,18,0,14.9,54,0.242,0.01549053356282272,0.0
ad_45,Organic Face Cream,google_search,Men 25-40,2025-08-16,766,23,1,10.52,34,-0.111,0.030026109660574413,0.043478260869565216
ad_46,Organic Face Cream,youtube,Students 18-25,2025-10-03,333,1,0,3.48,43,0.519,0.003003003003003003,0.0
ad_47,Organic Face Cream,google_search,Students 18-25,2025-10-14,528,8,0,6.69,45,-0.278,0.015151515151515152,0.0
ad_48,Eco Bottle,google_search,Women 25-40,2025-10-01,229,7,0,2.47,35,0.078,0.03056768558951965,0.0
ad_49,NoiseCancel Headphones,facebook,Students 18-25,2025-11-11,53,1,0,0.56,59,-0.171,0.018867924528301886,0.0
ad_50,Smartwatch Pro,instagram,Students 18-25,2025-09-26,1901,36,2,20.78,53,0.178,0.01893740136770121,0.05555555555555555
ad_51,Smartwatch Pro,google_search,Men 25-40,2025-10-19,2384,82,6,26.61,34,0.309,0.034395973154362415,0.07317073170731707
ad_52,Organic Face Cream,google_search,Students 18-25,2025-09-09,784,24,1,9.78,49,-0.005,0.030612244897959183,0.041666666666666664
ad_53,Smartwatch Pro,youtube,Women 25-40,2025-10-07,1395,10,0,16.59,46,0.427,0.007168458781362007,0.0
ad_54,Online MBA Course,youtube,Professionals 30-45,2025-09-19,697,5,0,8.17,17,0.088,0.007173601147776184,0.0
ad_55,Smartwatch Pro,instagram,Men 25-40,2025-10-07,257,2,0,3.77,32,0.403,0.007782101167315175,0.0
ad_56,NoiseCancel Headphones,youtube,Professionals 30-45,2025-11-09,2557,22,0,36.28,17,0.139,0.008603832616347283,0.0
ad_57,Organic Face Cream,google_search,Men 25-40,2025-09-20,257,6,0,3.02,24,-0.041,0.023346303501945526,0.0
ad_58,Eco Bottle,google_search,Women 25-40,2025-10-02,33,0,0,0.37,33,-0.596,0.0,0.0
ad_59,Organic Face Cream,google_search,Women 25-40,2025-08-22,614,30,0,8.9,29,0.372,0.048859934853420196,0.0
ad_60,Online MBA Course,facebook,Women 25-40,2025-10-15,1811,22,0,26.68,28,0.145,0.012147984538928768,0.0
ad_61,Eco Bottle,instagram,Students 18-25,2025-10-11,525,6,0,6.74,32,0.161,0.011428571428571429,0.0
ad_62,Smartwatch Pro,facebook,Professionals 30-45,2025-11-06,104,2,0,1.42,41,-0.323,0.019230769230769232,0.0
